model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,96,0.4600571691989898,0.4607665538787842,0
DLinear,ETTh1,192,0.5124986171722412,0.495282381772995,0
DLinear,ETTh1,336,0.5591853857040405,0.5273769497871399,0
DLinear,ETTh1,720,0.6750674843788147,0.6016904711723328,0
FreTS,ETTh1,96,0.4391708672046661,0.44583860039711,0
FreTS,ETTh1,192,0.4948497712612152,0.4841328859329223,0
FreTS,ETTh1,336,0.5511562824249268,0.5232970714569092,0
FreTS,ETTh1,720,0.6864525079727173,0.6078149676322937,0
iTransformer,ETTh1,192,0.5017576813697815,0.4949355721473694,0
iTransformer,ETTh1,96,0.4326568841934204,0.4480610489845276,0
iTransformer,ETTh1,336,0.5599815845489502,0.535602331161499,0
iTransformer,ETTh1,720,0.6584745645523071,0.6024185419082642,0
OLS,ETTh1,192,0.4941313862800598,0.4788530468940735,0
OLS,ETTh1,96,0.4393991231918335,0.44087815284729,0
OLS,ETTh1,336,0.5462693572044373,0.5162879824638367,0
OLS,ETTh1,720,0.6453673839569092,0.5875492691993713,0
MICN,ETTh1,96,0.496422529220581,0.4813970327377319,0
MICN,ETTh1,192,0.5630053877830505,0.5215513706207275,0
MICN,ETTh1,336,0.6365465521812439,0.5652283430099487,0
PatchTST,ETTh1,720,0.6780595779418945,0.6167832016944885,0
PatchTST,ETTh1,192,0.4837134778499603,0.4875136017799377,0
MICN,ETTh1,720,0.791545569896698,0.6640861630439758,0
PatchTST,ETTh1,96,0.427886813879013,0.4490754008293152,0
PatchTST,ETTh1,336,0.5480394959449768,0.5261565446853638,0
DLinear,ETTh1,720,0.6751832365989685,0.6017241477966309,1
FreTS,ETTh1,720,0.6865052580833435,0.6079731583595276,1
DLinear,ETTh1,336,0.5600065588951111,0.528157651424408,1
FreTS,ETTh1,336,0.5512292981147766,0.5230889320373535,1
DLinear,ETTh1,192,0.5123174786567688,0.4950593709945678,1
DLinear,ETTh1,96,0.4605812728404999,0.461040735244751,1
FreTS,ETTh1,96,0.4385776221752167,0.4455235302448272,1
iTransformer,ETTh1,96,0.4318030476570129,0.4478061199188232,1
iTransformer,ETTh1,192,0.5016350746154785,0.4949419498443603,1
iTransformer,ETTh1,720,0.6602338552474976,0.603611409664154,1
iTransformer,ETTh1,336,0.5599052309989929,0.5356146693229675,1
OLS,ETTh1,96,0.4395886063575744,0.440997838973999,1
OLS,ETTh1,720,0.6468712687492371,0.5885902643203735,1
OLS,ETTh1,192,0.4936102330684662,0.478589802980423,1
OLS,ETTh1,336,0.5461095571517944,0.5162742137908936,1
MICN,ETTh1,96,0.4961252212524414,0.4811190366744995,1
MICN,ETTh1,192,0.5648484826087952,0.5222800970077515,1
MICN,ETTh1,336,0.6383343935012817,0.5662789940834045,1
PatchTST,ETTh1,720,0.6781367659568787,0.6167929172515869,1
PatchTST,ETTh1,96,0.4276866912841797,0.4489875733852386,1
PatchTST,ETTh1,192,0.4831782877445221,0.4871679842472076,1
PatchTST,ETTh1,336,0.5486530661582947,0.5264230370521545,1
MICN,ETTh1,720,0.7884977459907532,0.6622111797332764,1
