model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,720,0.6948577165603638,0.6119678616523743,0
DLinear,ETTh1,96,0.463007241487503,0.4618505239486694,0
DLinear,ETTh1,336,0.5610029697418213,0.5287057161331177,0
DLinear,ETTh1,192,0.5132592916488647,0.4956656694412231,0
FreTS,ETTh1,96,0.4411981701850891,0.4455806314945221,0
FreTS,ETTh1,192,0.4960061311721802,0.4836608171463012,0
FreTS,ETTh1,336,0.5513670444488525,0.5222666263580322,0
FreTS,ETTh1,720,0.7022298574447632,0.616227924823761,0
iTransformer,ETTh1,96,0.4352192282676697,0.4478129148483276,0
iTransformer,ETTh1,192,0.5022391080856323,0.4936926364898681,0
iTransformer,ETTh1,336,0.5628931522369385,0.5371251702308655,0
iTransformer,ETTh1,720,0.6853240132331848,0.6151072382926941,0
MICN,ETTh1,96,0.4971993267536163,0.4806138277053833,0
MICN,ETTh1,192,0.5621070861816406,0.5197435617446899,0
MICN,ETTh1,336,0.636871337890625,0.5655815601348877,0
MICN,ETTh1,720,0.8245546221733093,0.678031861782074,0
OLS,ETTh1,96,0.4415205717086792,0.4417221844196319,0
OLS,ETTh1,192,0.4937343299388885,0.4787502884864807,0
OLS,ETTh1,336,0.5426656007766724,0.5145983695983887,0
OLS,ETTh1,720,0.6735587120056152,0.5999116897583008,0
PatchTST,ETTh1,96,0.4268788695335388,0.4479018747806549,0
PatchTST,ETTh1,336,0.5464890003204346,0.527571976184845,0
PatchTST,ETTh1,720,0.6817591190338135,0.6204490661621094,0
PatchTST,ETTh1,192,0.4815613627433777,0.4873698651790619,0
