model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,336,0.55342346,0.522053,0
DLinear,ETTh1,336,0.5652835965156555,0.5293878316879272,0
FreTS,ETTh1,720,0.7092982530593872,0.617343544960022,0
DLinear,ETTh1,192,0.5205993056297302,0.5001763105392456,0
FreTS,ETTh1,192,0.5014268755912781,0.4870111048221588,0
FreTS,ETTh1,96,0.4459132850170135,0.4488796293735504,0
OLS,ETTh1,336,0.5501607060432434,0.5140063166618347,0
DLinear,ETTh1,96,0.4692008197307586,0.4659482836723327,0
OLS,ETTh1,96,0.4505243897438049,0.4458388686180115,0
DLinear,ETTh1,720,0.7038873434066772,0.6136662364006042,0
OLS,ETTh1,720,0.6910240650177002,0.6021257638931274,0
OLS,ETTh1,192,0.503620982170105,0.4823356568813324,0
iTransformer,ETTh1,192,0.509286105632782,0.4978684186935425,0
iTransformer,ETTh1,96,0.4468158781528473,0.4537123739719391,0
iTransformer,ETTh1,336,0.5631648302078247,0.5355145931243896,0
iTransformer,ETTh1,720,0.6953420639038086,0.6171466112136841,0
MICN,ETTh1,192,0.583943784236908,0.5293515920639038,0
MICN,ETTh1,96,0.5144094228744507,0.4889381825923919,0
PatchTST,ETTh1,720,0.6998629570007324,0.6193943619728088,0
PatchTST,ETTh1,336,0.5541844964027405,0.5279039144515991,0
MICN,ETTh1,720,0.8844479322433472,0.7024888396263123,0
MICN,ETTh1,336,0.6565606594085693,0.5688772201538086,0
PatchTST,ETTh1,192,0.4902939796447754,0.490956962108612,0
PatchTST,ETTh1,96,0.43230965733528137,0.45243993401527405,0
