model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,192,0.5370842,0.5142727,0
DLinear,ETTh1,96,0.4744745194911957,0.4698700904846191,0
DLinear,ETTh1,720,0.70064777135849,0.613214910030365,0
FreTS,ETTh1,336,0.5843451023101807,0.5386263728141785,0
FreTS,ETTh1,720,0.704267144203186,0.6163811087608337,0
FreTS,ETTh1,96,0.4515162706375122,0.4534809589385986,0
DLinear,ETTh1,336,0.5903363823890686,0.5442293882369995,0
OLS,ETTh1,720,0.68724524974823,0.6020869016647339,0
OLS,ETTh1,96,0.4559649527072906,0.450518250465393,0
OLS,ETTh1,192,0.5200953483581543,0.4973973333835602,0
OLS,ETTh1,336,0.5808543562889099,0.5318031907081604,0
FreTS,ETTh1,192,0.5184174180030823,0.5017537474632263,0
iTransformer,ETTh1,96,0.444633275270462,0.4548593461513519,0
iTransformer,ETTh1,192,0.5251346826553345,0.5113222002983093,0
iTransformer,ETTh1,336,0.5984164476394653,0.5531752705574036,0
iTransformer,ETTh1,720,0.6889837384223938,0.6149925589561462,0
MICN,ETTh1,96,0.498880922794342,0.4859553873538971,0
PatchTST,ETTh1,720,0.6885124444961548,0.6164716482162476,0
PatchTST,ETTh1,336,0.5831447243690491,0.5434544682502747,0
MICN,ETTh1,192,0.5728886723518372,0.5334200263023376,0
MICN,ETTh1,336,0.6613132953643799,0.5740708112716675,0
PatchTST,ETTh1,96,0.4380505979061126,0.4568477571010589,0
MICN,ETTh1,720,0.8586606979370117,0.693634569644928,0
PatchTST,ETTh1,192,0.5075332522392273,0.5055502653121948,0
