model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,192,0.5280475,0.5076203,0
DLinear,ETTh1,336,0.5870208740234375,0.5425906181335449,0
DLinear,ETTh1,720,0.6961089968681335,0.6117703318595886,0
FreTS,ETTh1,720,0.6969357132911682,0.6133036017417908,0
DLinear,ETTh1,96,0.4706074595451355,0.4672394692897796,0
FreTS,ETTh1,96,0.4481514990329742,0.4510239064693451,0
FreTS,ETTh1,336,0.5778918862342834,0.5356216430664062,0
FreTS,ETTh1,192,0.5096983909606934,0.4951056838035583,0
OLS,ETTh1,720,0.6792060136795044,0.5985309481620789,0
OLS,ETTh1,336,0.5747961401939392,0.5289772152900696,0
OLS,ETTh1,192,0.5111021995544434,0.4905734956264496,0
OLS,ETTh1,96,0.4518303871154785,0.4476587474346161,0
iTransformer,ETTh1,720,0.6794883012771606,0.610546886920929,0
iTransformer,ETTh1,336,0.5940977931022644,0.5514627695083618,0
iTransformer,ETTh1,192,0.51656574010849,0.5051706433296204,0
iTransformer,ETTh1,96,0.4399574697017669,0.4520550668239593,0
PatchTST,ETTh1,720,0.6877620816230774,0.6169441938400269,0
MICN,ETTh1,96,0.4950491189956665,0.4836177825927734,0
MICN,ETTh1,192,0.5647794008255005,0.5266897678375244,0
MICN,ETTh1,720,0.8474275469779968,0.6888114809989929,0
PatchTST,ETTh1,336,0.5758179426193237,0.5397937297821045,0
MICN,ETTh1,336,0.6536879539489746,0.5711036920547485,0
PatchTST,ETTh1,192,0.4991686046123504,0.4990092813968658,0
PatchTST,ETTh1,96,0.43469831347465515,0.4541665315628052,0
