model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,336,0.5560401082038879,0.5271064043045044,0
DLinear,ETTh1,720,0.6744371652603149,0.6040714383125305,0
DLinear,ETTh1,96,0.4619205594062805,0.4615689218044281,0
DLinear,ETTh1,192,0.5108505487442017,0.4948956370353699,0
FreTS,ETTh1,336,0.5479685664176941,0.5223554372787476,0
FreTS,ETTh1,192,0.4948494732379913,0.4836127758026123,0
FreTS,ETTh1,720,0.6795299053192139,0.6082777976989746,0
FreTS,ETTh1,96,0.4418176412582397,0.4462918043136596,0
iTransformer,ETTh1,720,0.6626824736595154,0.6070658564567566,0
iTransformer,ETTh1,336,0.5579709410667419,0.536604106426239,0
iTransformer,ETTh1,192,0.503380298614502,0.4954532980918884,0
iTransformer,ETTh1,96,0.4372887015342712,0.449165791273117,0
MICN,ETTh1,96,0.493136316537857,0.4804796278476715,0
MICN,ETTh1,192,0.5528873205184937,0.5164616703987122,0
MICN,ETTh1,336,0.6207931041717529,0.5574762225151062,0
MICN,ETTh1,720,0.7888931632041931,0.6661546230316162,0
OLS,ETTh1,96,0.4428842067718506,0.4415647685527801,0
OLS,ETTh1,192,0.4944382309913635,0.4771710336208343,0
OLS,ETTh1,336,0.541635274887085,0.5122359991073608,0
OLS,ETTh1,720,0.6619943380355835,0.5934657454490662,0
PatchTST,ETTh1,96,0.4282557666301727,0.4489176869392395,0
PatchTST,ETTh1,192,0.4832989573478699,0.486344575881958,0
PatchTST,ETTh1,336,0.5449808239936829,0.5249263048171997,0
PatchTST,ETTh1,720,0.6645334959030151,0.6075693964958191,0
