model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,336,0.5637443661689758,0.5348917245864868,0
DLinear,ETTh1,720,0.6836457252502441,0.609115719795227,0
DLinear,ETTh1,96,0.4609740376472473,0.4613703489303589,0
DLinear,ETTh1,192,0.5109745860099792,0.4968949854373932,0
FreTS,ETTh1,192,0.4943210184574127,0.4856177270412445,0
FreTS,ETTh1,720,0.6850379109382629,0.6117769479751587,0
FreTS,ETTh1,96,0.4405663311481476,0.4459860026836395,0
FreTS,ETTh1,336,0.5543712377548218,0.5295736789703369,0
iTransformer,ETTh1,96,0.4368565082550049,0.4506335854530334,0
iTransformer,ETTh1,336,0.5637145638465881,0.5434893369674683,0
iTransformer,ETTh1,720,0.6685894727706909,0.6112499833106995,0
iTransformer,ETTh1,192,0.5021682977676392,0.4972173273563385,0
MICN,ETTh1,96,0.4877260029315948,0.480184257030487,0
MICN,ETTh1,192,0.5490867495536804,0.5182681083679199,0
MICN,ETTh1,336,0.6279163956642151,0.5673867464065552,0
MICN,ETTh1,720,0.7775768637657166,0.6638091802597046,0
OLS,ETTh1,96,0.4424538016319275,0.4419455230236053,0
OLS,ETTh1,192,0.4948435127735138,0.4803142547607422,0
OLS,ETTh1,336,0.5502659678459167,0.521420419216156,0
OLS,ETTh1,720,0.6727674007415771,0.6007654666900635,0
PatchTST,ETTh1,96,0.4274047017097473,0.4489290714263916,0
PatchTST,ETTh1,192,0.4831441342830658,0.4874498248100281,0
PatchTST,ETTh1,336,0.5521407127380371,0.5331244468688965,0
PatchTST,ETTh1,720,0.6699101328849792,0.6121573448181152,0
