model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,336,0.5570325,0.52806747,0
DLinear,ETTh1,720,0.6744555830955505,0.6044695973396301,0
DLinear,ETTh1,96,0.4623858332633972,0.4616902470588684,0
DLinear,ETTh1,192,0.5108060836791992,0.4950360357761383,0
FreTS,ETTh1,192,0.4949496984481811,0.4838281571865082,0
FreTS,ETTh1,96,0.4411277174949646,0.4461835622787475,0
FreTS,ETTh1,720,0.6797618269920349,0.6091668009757996,0
FreTS,ETTh1,336,0.5490433573722839,0.523908257484436,0
iTransformer,ETTh1,192,0.5035766363143921,0.4958073794841766,0
iTransformer,ETTh1,720,0.6615862846374512,0.6070591807365417,0
iTransformer,ETTh1,96,0.4377933144569397,0.4491753876209259,0
iTransformer,ETTh1,336,0.557292640209198,0.5369974970817566,0
MICN,ETTh1,96,0.4946775436401367,0.4814192056655884,0
MICN,ETTh1,192,0.553799033164978,0.5173853039741516,0
MICN,ETTh1,336,0.6215229034423828,0.5587361454963684,0
MICN,ETTh1,720,0.7847279906272888,0.6650631427764893,0
OLS,ETTh1,96,0.4432772994041443,0.4415942132472992,0
OLS,ETTh1,192,0.4942649602890014,0.4774370491504669,0
OLS,ETTh1,336,0.5418890714645386,0.5129371881484985,0
OLS,ETTh1,720,0.66192227602005,0.5942997932434082,0
PatchTST,ETTh1,96,0.4282592535018921,0.4489835202693939,0
PatchTST,ETTh1,192,0.4833137094974518,0.4863784313201904,0
PatchTST,ETTh1,336,0.5450001358985901,0.5259677767753601,0
PatchTST,ETTh1,720,0.6637767553329468,0.6079012155532837,0
