model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
DLinear,ETTh1,96,0.4617502391338348,0.4614425003528595,0
DLinear,ETTh1,336,0.5612375140190125,0.5334032773971558,0
DLinear,ETTh1,192,0.5109772086143494,0.4963220953941345,0
DLinear,ETTh1,720,0.6820410490036011,0.6082043647766113,0
FreTS,ETTh1,96,0.4416148662567138,0.4462061822414398,0
FreTS,ETTh1,192,0.494004875421524,0.4846419394016266,0
FreTS,ETTh1,336,0.5524504780769348,0.5283023118972778,0
FreTS,ETTh1,720,0.6850301027297974,0.6115479469299316,0
iTransformer,ETTh1,96,0.4364579617977142,0.4491689205169678,0
iTransformer,ETTh1,336,0.5607044100761414,0.541722297668457,0
iTransformer,ETTh1,192,0.5017982721328735,0.4961988031864166,0
iTransformer,ETTh1,720,0.6682315468788147,0.6108730435371399,0
MICN,ETTh1,96,0.4929419755935669,0.4816968739032745,0
MICN,ETTh1,192,0.5512615442276001,0.5183794498443604,0
MICN,ETTh1,336,0.6263089179992676,0.5658124685287476,0
MICN,ETTh1,720,0.7749477028846741,0.6617989540100098,0
OLS,ETTh1,96,0.4446747601032257,0.4422933161258697,0
OLS,ETTh1,192,0.4939591586589813,0.4788476228713989,0
OLS,ETTh1,336,0.547598659992218,0.5197443962097168,0
OLS,ETTh1,720,0.6712198257446289,0.599807620048523,0
PatchTST,ETTh1,96,0.4278858006000519,0.4487895369529724,0
PatchTST,ETTh1,192,0.4820912480354309,0.4862549901008606,0
PatchTST,ETTh1,336,0.5529623627662659,0.5334919095039368,0
PatchTST,ETTh1,720,0.6683915853500366,0.6116144061088562,0
