model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,336,0.5427206754684448,0.5161482691764832,0
DLinear,ETTh1,192,0.508384644985199,0.4917173683643341,0
FreTS,ETTh1,96,0.4377948641777038,0.4437404572963714,0
DLinear,ETTh1,336,0.5511374473571777,0.5209784507751465,0
DLinear,ETTh1,720,0.6783547401428223,0.6002517342567444,0
DLinear,ETTh1,96,0.4595368206501007,0.4587029218673706,0
FreTS,ETTh1,720,0.6841199398040771,0.606065034866333,0
FreTS,ETTh1,192,0.49193274974823,0.4808920919895172,0
iTransformer,ETTh1,720,0.6631947159767151,0.6040819883346558,0
iTransformer,ETTh1,192,0.4994431436061859,0.4932117760181427,0
iTransformer,ETTh1,336,0.5502820014953613,0.5300485491752625,0
iTransformer,ETTh1,96,0.4258407652378082,0.4452123045921325,0
MICN,ETTh1,96,0.4575739204883575,0.4670526385307312,0
MICN,ETTh1,192,0.5312941670417786,0.5104433298110962,0
MICN,ETTh1,336,0.5897237062454224,0.5457308292388916,0
MICN,ETTh1,720,0.8020051121711731,0.6743539571762085,0
OLS,ETTh1,96,0.4408528208732605,0.4402739405632019,0
OLS,ETTh1,192,0.4920116364955902,0.4753274619579315,0
OLS,ETTh1,720,0.666682779788971,0.5892747044563293,0
OLS,ETTh1,336,0.537218451499939,0.5068373680114746,0
PatchTST,ETTh1,96,0.4279314279556274,0.4471645057201385,0
PatchTST,ETTh1,192,0.4835163056850433,0.4857035875320434,0
PatchTST,ETTh1,336,0.540980875492096,0.5218060612678528,0
PatchTST,ETTh1,720,0.6742694973945618,0.607714831829071,0
