model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,192,0.4934819042682647,0.484576404094696,0
DLinear,ETTh1,336,0.5565643310546875,0.5278229713439941,0
FreTS,ETTh1,336,0.5482355356216431,0.5228756666183472,0
DLinear,ETTh1,720,0.674271285533905,0.6045098900794983,0
DLinear,ETTh1,192,0.5104007720947266,0.4948820173740387,0
DLinear,ETTh1,96,0.4618349373340606,0.4615395963191986,0
FreTS,ETTh1,96,0.4418154954910278,0.4461683928966522,0
FreTS,ETTh1,720,0.6787471175193787,0.6082739233970642,0
iTransformer,ETTh1,96,0.4378246068954468,0.4493132531642914,0
iTransformer,ETTh1,192,0.5029100179672241,0.4954537153244018,0
iTransformer,ETTh1,720,0.6598412990570068,0.6058201789855957,0
iTransformer,ETTh1,336,0.5567924976348877,0.5365568399429321,0
MICN,ETTh1,192,0.5530487895011902,0.5169066786766052,0
MICN,ETTh1,96,0.4943188428878784,0.4810038208961487,0
MICN,ETTh1,336,0.6203006505966187,0.5580691695213318,0
MICN,ETTh1,720,0.78388512134552,0.6645327806472778,0
OLS,ETTh1,96,0.4423116445541382,0.4412487149238586,0
OLS,ETTh1,192,0.4947261810302734,0.4776737093925476,0
OLS,ETTh1,336,0.5412032604217529,0.5127617716789246,0
OLS,ETTh1,720,0.6616805195808411,0.5941408276557922,0
PatchTST,ETTh1,96,0.4283927083015442,0.4490276575088501,0
PatchTST,ETTh1,192,0.4831974506378174,0.4863274693489074,0
PatchTST,ETTh1,336,0.5451484322547913,0.5258572101593018,0
PatchTST,ETTh1,720,0.6636456847190857,0.6079456806182861,0
