model,dataset_name,pred_len,mse_after_tta,mae_after_tta,seed
FreTS,ETTh1,720,0.6988709,0.61742413,0
DLinear,ETTh1,336,0.5563926696777344,0.5310132503509521,0
FreTS,ETTh1,336,0.5480515956878662,0.5265903472900391,0
FreTS,ETTh1,192,0.4923059642314911,0.4832840263843536,0
DLinear,ETTh1,192,0.5092260241508484,0.4946905076503753,0
FreTS,ETTh1,96,0.4410523176193237,0.4464867413043976,0
DLinear,ETTh1,96,0.4633398652076721,0.4629228413105011,0
DLinear,ETTh1,720,0.6894263029098511,0.610748827457428,0
iTransformer,ETTh1,96,0.4383124709129333,0.4498597979545593,0
iTransformer,ETTh1,336,0.5553044676780701,0.5395726561546326,0
iTransformer,ETTh1,192,0.4995442628860473,0.4946406185626983,0
iTransformer,ETTh1,720,0.6855255365371704,0.617061197757721,0
MICN,ETTh1,96,0.4983060657978058,0.4828700423240661,0
MICN,ETTh1,192,0.550364077091217,0.5169103741645813,0
MICN,ETTh1,336,0.6202959418296814,0.5629396438598633,0
MICN,ETTh1,720,0.7885774970054626,0.6674929261207581,0
OLS,ETTh1,96,0.4434630274772644,0.4424834847450256,0
OLS,ETTh1,336,0.5411138534545898,0.5168812870979309,0
OLS,ETTh1,720,0.6772058010101318,0.6021221876144409,0
OLS,ETTh1,192,0.4921217858791351,0.4772291481494903,0
PatchTST,ETTh1,96,0.4287709593772888,0.4497662186622619,0
PatchTST,ETTh1,192,0.4787059724330902,0.4843910634517669,0
PatchTST,ETTh1,720,0.6721305251121521,0.6112871766090393,0
PatchTST,ETTh1,336,0.5484843254089355,0.5319772958755493,0
